reference_number,inn,cas_number,ec_number,regulation,regulated_by,other_regulations,sccs_opinions,chemical_name,identified_ingredients,cmr,update_date
1,N-(5-Chlorobenzoxazol-2-yl)acetamide,35783-57-4,-,"(EC) 2009/1223",,,,,,17/10/2010
2,"(2-Acetoxyethyl)trimethylammonium hydroxide (Acetylcholine) and its salts",51-84-3,200-128-9,"(EC) 2009/1223",,,,",,,,",,17/10/2010
3,"Deanol aceglumate (INN)",3342-61-8,222-085-5,"(EC) 2009/1223",,,,,,15/10/2010
4,"Spironolactone (INN)",52-01-7,200-133-6,"(EC) 2009/1223",,,,SPIRONOLACTONE,,15/10/2010
5,"[4-(4-Hydroxy-3-iodophenoxy)-3,5-diiodophenyl]acetic acid (Tiratricol (INN)) and its salts",51-24-1,200-086-1,"(EC) 2009/1223",,,"Triiodothyroacetic acid; (4-(4-Hydroxy-3-iodophenoxy)-3,5-diiodophenyl)acetic acid ",,,17/10/2010
6,"Methotrexate (INN)",59-05-2,200-413-8,"(EC) 2009/1223",,,,,,15/10/2010
7,"Aminocaproic acid (INN) and its salts",60-32-2,200-469-3,"(EC) 2009/1223",,,,"6-AMINOCAPROIC ACID",,17/10/2010
8,"Cinchophen (INN), its salts, derivatives and salts of these derivatives","132-60-5 / 5949-18-8","205-067-1 / 227-710-5","(EC) 2009/1223",,,,",",,17/10/2010
9,"Thyropropic acid (INN) and its salts",51-26-3,-,"(EC) 2009/1223",,,"4-(4-Hydroxy-3-iodophenoxy)-3,5-diiodobenzenepropanoic acid 
",,,17/10/2010
10,"Trichloroacetic acid",76-03-9,200-927-2,"(EC) 2009/1223",,,,,,15/10/2010
11,"Aconitum napellus L. (leaves, roots and galenical preparations)",84603-50-9,283-252-6,"(EC) 2009/1223",,,,,,15/10/2010
12,"Aconitine (principal alkaloid of Aconitum napellus L.) and its salts",302-27-2,206-121-7,"(EC) 2009/1223",,,"Aconitane-3,8,13,14,15-pentol, 20-ethyl-1,6,16-trimethoxy-4-(methoxymethyl)-, 8-acetate 14-benzoate, 
(1alpha,3alpha,6alpha,14alpha,15alpha,16beta)- 
",,,15/10/2010
13,"Adonis vernalis L. and its preparations",84649-73-0,283-458-6,"(EC) 2009/1223",,,,,,15/10/2010
14,"Epinephrine (INN)",51-43-4,200-098-7,"(EC) 2009/1223",,,"Adrenaline; Benzyl alcohol, 3,4-dihydroxy-alpha-((methylamino)methyl)-, (-)- 

",,,15/10/2010
15,"Rauwolfia serpentia L., alkaloids and their salts",90106-13-1,290-234-1,"(EC) 2009/1223",,,,"RAUWOLFIA SERPENTINA EXTRACT",,17/10/2010
16,"Alkyne alcohols, their esters, ethers and salts",-,-,"(EC) 2009/1223",,"Opinion on Clarifications to SCCNFP/0392/00 ""An initial List of Perfumery Materials which must not form part of Cosmetic Products except subject to the Restrictions and Conditions laid down""",,",,TETRAMETHYL DECYNEDIOL",,17/10/2010
17,"Isoprenaline (INN)",7683-59-2,231-687-7,"(EC) 2009/1223",,,"1,2-Benzenediol, 4-(1-hydroxy-2-((1-methylethyl)amino)ethyl)-",,,15/10/2010
18,"Allyl isothiocyanate",57-06-7,200-309-2,"(EC) 2009/1223",,,,,,15/10/2010
19,"Alloclamide (INN) and its salts",5486-77-1,-,"(EC) 2009/1223",,,,,,17/10/2010
20,"Nalorphine (INN), its salts and ethers",62-67-9,200-546-1,"(EC) 2009/1223",,,,",,,",,17/10/2010
21,"Sympathicomimetic amines acting on the central nervous system: any substance contained in the first list of medicaments which are subject to medical prescription and referred to in Resolution AP (69) 2 of the Council of Europe",300-62-9,206-096-2,"(EC) 2009/1223",,,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OCTOPAMINE,N-NICOTINOYL TYRAMINE,N-NICOTINOYL DOPAMINE,N-CYCLOHEXANOYL TYRAMINE,N-ADAMANTANOYL TYRAMINE",,09/03/2011
22,"Aniline, its salts and its halogenated and sulphonated derivatives",62-53-3,200-539-3,"(EC) 2009/1223",,,"Aminobenzene; Aniline",",","Carcinogenic Cat. 2(),Mutagenic Cat. 2()",09/07/2019
23,"Betoxycaine (INN) and its salts",3818-62-0,-,"(EC) 2009/1223",,,"Benzoic acid, 3-amino-4-butoxy-, 2-(2-(diethylamino)ethoxy)ethyl ester 
",,,17/10/2010
24,"Zoxazolamine (INN)",61-80-3,200-519-4,"(EC) 2009/1223",,,,,,17/10/2010
25,"Procainamide (INN), its salts and derivatives",51-06-9,200-078-8,"(EC) 2009/1223",,,,,,17/10/2010
26,Benzidine,92-87-5,202-199-1,"(EC) 2009/1223",,,,,"Carcinogenic Cat. 1A(C=>0.01%)",20/10/2010
27,"Tuaminoheptane (INN), its isomers and salts",123-82-0,204-655-5,"(EC) 2009/1223",,,,",,",,17/10/2010
28,"Octodrine (INN) and its salts",543-82-8,208-851-1,"(EC) 2009/1223",,,"(1)-1,5-Dimethylhexylamine; 2-Heptanamine, 6-methyl- 
 
",,,17/10/2010
29,"2-Amino-1,2-bis(4-methoxyphenyl)ethanol and its salts",530-34-7,-,"(EC) 2009/1223",,,"Evadol hydrochloride; Benzeneethanol, beta-amino-4-methoxy-alpha-(4-methoxyphenyl)-, hydrochloride ",,,17/10/2010
30,"1,3-Dimethylpentylamine and its salts",105-41-9,203-296-1,"(EC) 2009/1223",,,,,,15/10/2010
31,"4-Aminosalicylic acid and its salts",65-49-6,200-613-5,"(EC) 2009/1223",,,,",,,",,15/10/2010
32,"Toluidines, their isomers, salts and halogenated and sulphonated derivatives",26915-12-8,248-105-2,"(EC) 2009/1223",,,,",,",,17/10/2010
33,"Xylidines, their isomers, salts and halogenated and sulphonated derivatives",1300-73-8,215-091-4,"(EC) 2009/1223",,,,",,,,,,",,17/10/2010
34,"Imperatorin (9-(3-methylbut-2-enyloxy)furo[3,2-g]chromen-7-one)",482-44-0,207-581-1,"(EC) 2009/1223",,"Opinion on Furocoumarins in cosmetic products",,,,15/10/2010
35,"Ammi majus L. and its galenical preparations",90320-46-0,291-072-4,"(EC) 2009/1223",,,,"AMMI MAJUS EXTRACT",,17/10/2010
36,"2,3-Dichloro-2-methylbutane",507-45-9,-,"(EC) 2009/1223",,,"Amylene dichloride; Butene, 2,3-dichloro-2-methyl- 
",,,15/10/2010
37,"Substances with androgenic effect",-,-,"(EC) 2009/1223",,,,"PRASTERONE,,,,,,,,,,,,,,,,,,TESTOSTERONE,CORNYEABACTERIUM LIPOPHILICUS/PRASTERONE FERMENT FILTRATE EXTRACT",,15/10/2010
38,"Anthracene oil",120-12-7,204-371-1,"(EC) 2009/1223",,,,",,,,,,,,","Carcinogenic Cat. 1B()",17/10/2010
38,"Distillates (coal tar), pitch, pyrene fraction",91995-52-7,295-313-4,"(EC) 2009/1223",,,"Distillates (coal tar), pitch, pyrene fraction",,"Carcinogenic Cat. 1B()",04/10/2016
38,"Distillates (coal tar), pitch",101316-49-8,309-855-7,"(EC) 2009/1223",,,"Distillates (coal tar), pitch",,"Carcinogenic Cat. 1B()",04/10/2016
39,Antibiotics,-,-,"(EC) 2009/1223",,"Opinion concerning Tyrothricin and salts; 3,4',5-Tribromosalicylanilide",,,,17/10/2010
40,"Antimony and its compound",7440-36-0,231-146-5,"(EC) 2009/1223",,,,",ANTIMONY POTASSIUM TARTRATE",,17/10/2010
41,"Apocynum cannabium L. and its preparations",84603-51-0,283-253-1,"(EC) 2009/1223",,,,"APOCYNUM CANNABINUM ROOT EXTRACT",,15/10/2010
42,"Apomorphine ((R)-5,6,6a,7-tetrahydro-6-methyl-4H-dibenzo[de,g]quinoline-10,11-diol)) and its salts",58-00-4,200-360-0,"(EC) 2009/1223",,,,",,",,17/10/2010
43,"Arsenic and its compounds",7440-38-2,231-148-6,"(EC) 2009/1223",,,,",,,,",,07/01/2011
44,"Atropa belladonna L. and its preparations",8007-93-0,232-365-9,"(EC) 2009/1223",,,,,,15/10/2010
45,"Atropine, its salts and derivatives",51-55-8,200-104-8,"(EC) 2009/1223",,,,,,15/10/2010
46,"Barium salts, with the exception of barium sulphide under the conditions laid down in Annex III and of barium sulfate, lakes, salts and pigments prepared from the colouring agents when listed in Annex IV",-,-,"(EC) 2009/1223",,,,"BARIUM GLUCONATE,BARIUM HEXAFERRITE,BARIUM CHLORIDE",,17/10/2010
