reference_number,inn,common_ingredients,cas_number,ec_number,product_type,maximum_concentration,other,wording_of_conditions,regulation,regulated_by,other_regulations,sccs_opinions,chemical_name,identified_ingredients,cmr,update_date
2a,"Thioglycolic acid and its salts","THIOGLYCOLIC ACID",68-11-1,200-677-4,"(a) Hair products

(b) Depilatories

(c) Hair rinse-off products 

(d) Products intended for eyelash waving","(a) (i) 8%    (ii) 11% 

(b) 5% 

(c) 2%
 
(d) 11% The abovementioned percentages are calculated as thioglycollic acid","(a) (i) General use ready for use pH 7 to 9.5        (ii) Professional use ready for use pH 7 to 9.5

(b) ready for use pH 7 to 12.7

(c) ready for use pH 7 to 9.5

(d) ready for use pH 7 to 9,5


","Conditions of use:

(a) (b) (c) (d)
Avoid contact with eyes
Rinse eyes immediately if product comes into contact with them.

(a) (c) (d)
Wear suitable gloves

Warnings to be printed on the label:
(a)(i) (b) (c)
Contains thioglycolate
Follow the instructions
Keep out of reach of children

(a)(ii) (d)
For professional use only
Contains thioglycolate
Follow the instructions’
","(EU) 2015/1190",,"Thioglycolic acid and its salts (TGA)","Thioglycolic acid and its salts","AMMONIUM THIOGLYCOLATE,CALCIUM THIOGLYCOLATE,ETHANOLAMINE THIOGLYCOLATE,MAGNESIUM THIOGLYCOLATE,POTASSIUM THIOGLYCOLATE,SODIUM THIOGLYCOLATE,STRONTIUM THIOGLYCOLATE,THIOGLYCOLIC ACID,CALCIUM THIOGLYCOLATE HYDROXIDE",,27/07/2020
2b,"Thioglycolic acid esters",-,-,-,"Hair waving or straightening products
","(a) 8% 
(b) 11% 
The abovementioned percentages are calculated as thioglycollic acid","(a) General use
ready for use pH 6 to 9.5 
(b) Professional use
ready for use pH 6 to 9.5

","Conditions of use:
(a) (b)
May cause sensitization in the event of skin contact 
Avoid contact with eyes 
In the event of contact with eyes, rinse immediately with plenty of water and seek medical advice 
Wear suitable gloves
Warnings:
Contains thioglycolate 
Follow the instructions
Keep out of reach of children
(b) For professional use only
","(EC) 2009/1223",,,,"BUTYL THIOGLYCOLATE,ETHYL THIOGLYCOLATE,GLYCERYL THIOGLYCOLATE,ISOOCTYL THIOGLYCOLATE,ISOPROPYL THIOGLYCOLATE,METHYL THIOGLYCOLATE",,17/10/2010
3,"Oxalic acid, its esters and alkaline salts","OXALIC ACID",144-62-7,205-634-3,"Hair products",5%,"Professional use ","For professional use only","(EC) 2009/1223",,,,"DIBUTYL OXALATE,DIETHYL OXALATE,DIISOBUTYL OXALATE,DIISOPROPYL OXALATE,DILITHIUM OXALATE,DIMETHYL OXALATE,DIPOTASSIUM OXALATE,DIPROPYL OXALATE,OXALIC ACID,SODIUM OXALATE",,17/10/2010
4,Ammonia,AMMONIA,"7664-41-7 / 1336-21-6","231-635-3 / 215-647-6",,"6% (as NH3)",,"Above 2%: Contains ammonia","(EC) 2009/1223",,,,"AMMONIA,AMMONIUM HYDROXIDE",,17/10/2010
5,"Tosylchloramide sodium (INN)",Chloramine-T,127-65-1,204-854-7,,0.2%,,,"(EC) 2009/1223",,,"Benzenesulfonamide, N-chloro-4-methyl-, sodium salt (1:1) 
 
","CHLORAMINE T",,17/10/2010
6,"Chlorates of alkali metals","POTASSIUM CHLORATE / SODIUM CHLORATE","3811-04-9 / 7775-09-9","223-289-7 / 231-887-4","(a) Toothpaste
(b) Other products","(a) 5%
(b) 3%
",,,"(EC) 2009/1223",,,,"POTASSIUM CHLORATE,SODIUM CHLORATE",,04/11/2010
8a,"p-Phenylenediamine and its salts",-,"106-50-3 / 624-18-0 / 16245-77-5","203-404-7 / 210-834-9 / 240-357-1","Hair dye substance in oxidative hair dye products",,"(a) General use
(b) Professional use For (a) and (b): After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2 % calculated as free base","(a) To be printed on the label: The mixing ratio. ‘ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary “black henna” tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary “black henna” tattoo in the past. Contains phenylenediamines. Do not use to dye eyelashes or eyebrows.’
(b) To be printed on the label: The mixing ratio. ‘For professional use only. Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary “black henna” tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary “black henna” tattoo in the past. Contains phenylenediamines. Wear suitable gloves.’","(EC) 2013/344",,,"p-Phenylenediamine; p-Phenylenediamine HCl; p-Phenylenediamine Sulphate",,,03/03/2015
8b,"p- Phenylene-diamine and its salts","p-Phenylenediamine; p-Phenylenediamine HCl; p-Phenylenediamine Sulphate","106-50-3 / 624-18-0 / 16245-77-5","203-404-7 / 210-834-9 / 240-357-1","Products intended for colouring eyelashes",,"After mixing under oxidative conditions the maximum concentration applied to eyelashes must not exceed 2 % calculated as free base.
For professional use only.","To be printed on the label: The mixing ratio. “For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: — has a rash on the face or sensitive, irritated and damaged scalp, — has experienced any reaction after colouring hair or eyelashes, — has experienced a reaction to a temporary ‘black henna’ tattoo in the past. Rinse eyes immediately if product comes into contact with them. Contains phenylenediamines. Wear suitable gloves.” ’","(EC) 2013/1197",,"Opinion concerning p-Phenylenediamine,Opinion on p-Phenylenediamine,Memorandum on Hair Dye Substances and their Skin Sensitising Properties,Opinion on reaction products of oxidative hair dye ingredients formed during hair dyeing processes","p- Phenylene-diamine and its salts","p-PHENYLENEDIAMINE HCl,p-PHENYLENEDIAMINE SULFATE",,12/02/2014
8c,"Ethanol, 2,2′-[(2-nitro-1,4-phenylene)diimino]bis-(9CI)","N,N'-BIS(2-HYDROXYETHYL)-2-NITRO-P-PHENYLENEDIAMINE",84041-77-0;,281-856-4;,"(a) Hair dye substance in oxidative hair dye products  

(b) Hair dye substance in non-oxidative hair dye products ","(b) As from 3 September   2017: 1,5 % ","(a) As from 3 September 2017, after mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,0 % 

For (a) and (b), as from 3 September 2017: 
— Do not use with nitrosating agents 
— Maximum nitrosamine content: 50 μg/kg 
— Keep in nitrite-free containers","a)  As from 3 March 2018, to be printed on the label: 
The mixing ratio. “Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. 
Do not colour your hair if: 
— you have a rash on your face or sensitive, irritated and damaged scalp, 
— you have ever experienced any reaction after colouring your hair,
— you have experienced a reaction to a temporary ‘black  henna’ tattoo in the past”.’","(EC) 2009/1223",,"Opinion on N,N'-bis(2-Hydroxyethyl)-2-nitro-p-phenylenediamine,Opinion on N,N'-bis(2-Hydroxyethyl)-2-nitro-p-phenylenediamine,OPINION ON N,N'-Bis-(2-hydroxyethyl)-2-nitro-p-phenylenediamine (B34)","Ethanol, 2,2′-[(2-nitro-1,4-phenylene)diimino]bis-(9CI)","N,N'-BIS(2-HYDROXYETHYL)-2-NITRO-P-PHENYLENEDIAMINE",,28/07/2020
8,"N-substituted derivatives of p- Phenylenediamine and their salts; N- substituted derivatives of o-Phenylenediamine (1 ), with exception of those derivatives listed elsewhere in this Annex and under reference numbers 1309, 1311, and 1312 in Annex II",-,-,-,"Hair dye substance in oxidative hair dye products","(a) General use
(b) Professional use 
For (a) and (b): After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 3 % calculated as free base","(1 ) These substances may be used singly or in combination provided that the sum of the ratios of the levels of each of them in the cosmetic product expressed with reference to the maximum level authorised for each of them does not exceed 1.’","(a) To be printed on the label: The mixing ratio. “ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past. Contains phenylenediamines. Do not use to dye eyelashes or eyebrows”
(b) To be printed on the label: The mixing ratio. “For professional use only Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy.
Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past. Contains phenylenediamines. Wear suitable gloves”","(EC) 2013/344",,"Updated Recommended Strategy for Testing Hair Dyes for Their Potential Genotoxicity/Mutagenicity/Carcinogenicity,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Opinion concerning p-Phenylenediamine,Opinion on p-Phenylenediamine,Foreseeable use of hair dyes,Memorandum on Hair Dye Substances and their Skin Sensitising Properties",,"N-PHENYL-P-PHENYLENEDIAMINE,N-PHENYL-P-PHENYLENEDIAMINE HCL,N-PHENYL-P-PHENYLENEDIAMINE SULFATE,N,N-BIS(2-HYDROXYETHYL)-P-PHENYLENEDIAMINE SULFATE,",,17/06/2014
9a,"Toluene-2,5-diamine 
Toluene-2,5-diamine sulphate",-,"95-70-5 / 615-50-9","202-442-1 / 210-431-8","(a) Products intended for colouring eyelashes

(b) Products intended for colouring eyelashes",,"(a) (i) General use
(a) (ii) Professional use

(b) Professional use

For (a) and (b): After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 2,0 % (cal­culated as free base) or 3,6 % (calculated as sulfate salt)","(a) To be printed on the label: 
The mixing ratio.
' Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16.
Temporary “black henna” tattoos may increase your risk of allergy. Do not colour your hair if:
— you have a rash on your face or sensitive, irritated and damaged scalp,
— you have ever experienced any reaction after colouring your hair,
— you have experienced a reaction to a temporary “black henna” tattoo in the past.

Contains phenylenediamines (toluenediamines)

(a) (i) Do not use to dye eyelashes.
(a) (ii) Wear suitable gloves. For professional use only.’


(b)  As from 3 March 2018, to be printed on the label: The mixing ratio.
' This product can cause severe allergic reactions. Read and follow instructions.

This product is not intended for use on persons under the age of 16. Temporary “black henna” tattoos may increase the risk of allergy.

Eyelashes shall not be coloured if the consumer:
— has a rash on the face or sensitive, irritated and damaged scalp,
— has experienced any reaction after colouring hair or eyelashes,
— has experienced a reaction to a temporary “black henna” tattoo in the past.

Rinse eyes immediately if product comes into contact with them.

Contains phenylenediamines (toluenediamines).

Wear suitable gloves.

For professional use only’.

","(EC) 2013/1197",,"Opinion on Toluene-2,5-diamine,Memorandum on Hair Dye Substances and their Skin Sensitising Properties","1,4-Benzenediamine, 2-methyl-

2,5-Diaminotoluene sulphate","TOLUENE-2,5-DIAMINE,TOLUENE-2,5-DIAMINE SULFATE",,02/09/2022
