reference_number,inn,common_ingredients,cas_number,ec_number,product_type,maximum_concentration,other,wording_of_conditions,regulation,regulated_by,other_regulations,sccs_opinions,chemical_name,identified_ingredients,cmr,update_date
2,"N,N,N-Trimethyl-4-(2-oxoborn-3-ylidenemethyl) anilinium methyl sulphate","Camphor benzalkonium methosulfate",52793-97-2,258-190-8,,6%,,,"(EC) 2009/1223",,"Opinion on Camphor benzalkonium methosulfate,Opinion on Camphor benzalkonium methosulfate",,"CAMPHOR BENZALKONIUM METHOSULFATE",,15/10/2010
3,"Benzoic acid, 2-hydroxy-, 3,3,5-trimethylcyclohexyl ester / Homosalate",HOMOSALATE,118-56-9,204-260-8,"Face products with the exception of propellent spray products","7,34 %","From 1 January 2025 cosmetic products containing that substance and not complying with the conditions shall not be placed on the Union market. From 1 July 2025 cosmetic products containing that substance and not complying with the conditions shall not be made available on the Union market.",,"(EC) 2009/1223",,"Opinion on Homosalate,OPINION on Homosalate,Scientific Advice on the safety of Homosalate (CAS No 118-56-9, EC No 204-260-8) as a UV-filter in cosmetic products","Benzoic acid, 2-hydroxy-, 3,3,5-trimethylcyclohexyl ester / Homosalate",HOMOSALATE,,11/11/2022
4,"2-Hydroxy-4-methoxybenzophenone / Oxybenzone",BENZOPHENONE-3,131-57-7,205-031-5,"a) Face products, hand products, and lip products, excluding propellant and pump spray products
b) Body products, including propellant and pump spray products
c) Other products","a) 6%
b) 2,2%
c) 0,5%

Footnote 1: However, cosmetic products containing '2-Hydroxy-4-methoxy-benzophenone/Oxybenzone' and complying with the restrictions set out in Regulation (EC) No 1223/2009 as applicable on 27 July 2022 may be placed on the Union market until 28 January 2023 and be made available on the Union market until 28 July 2023.","a) If used at 0,5 % to protect product formulation, the levels used as UV filter must not exceed 5,5 %.
b) If used at 0,5 % to protect product formulation, the levels used as UV filter must not exceed 1,7 %.","For a) and b): Contains Benzophenone-3 (*) 

Footnote (*): Not required if concentration is 0,5 % or less and when it is used only for product protection purposes.","(EU) 2017/238",,"Evaluation of Potentially Estrogenic Effects of UV-filters,Opinion on Benzophenone-3,Opinion on Benzophenone-3,OPINION on Benzophenone-3","2-Hydroxy-4-methoxybenzophenone / Oxybenzone",BENZOPHENONE-3,,29/08/2022
5,"Moved or deleted",-,-,-,,,,,"(EC) 2009/1223",,,,,,03/10/2016
6,"2-Phenylbenzimidazole-5-sulphonic acid and its potassium, sodium and triethanolamine salts / Ensulizole","PHENYLBENZIMIDAZOLE SULFONIC ACID",27503-81-7,248-502-0,,"8%(as acid)",,,"(EC) 2009/1223",,"Opinion on Phenylbenzimidazole Sulfonic Acid and its salts",,"PHENYLBENZIMIDAZOLE SULFONIC ACID,POTASSIUM PHENYLBENZIMIDAZOLE SULFONATE,SODIUM PHENYLBENZIMIDAZOLE SULFONATE,TEA-PHENYLBENZIMIDAZOLE SULFONATE",,08/03/2011
7,"3,3'-(1,4-Phenylenedimethylene) bis (7,7-dimethyl-2-oxobicyclo-[2.2.1] hept-1-ylmethanesulfonic acid) and its salts / Ecamsule","TEREPHTHALYLIDENE DICAMPHOR SULFONIC ACID","92761-26-7 / 90457-82-2","410-960-6 / -",,"10%(as acid)",,,"(EC) 2009/1223",,,,"TEREPHTHALYLIDENE DICAMPHOR SULFONIC ACID",,26/10/2010
8,"1-(4-tert-Butylphenyl)-3-(4-methoxyphenyl) propane-1,3-dione / Avobenzone","Butyl Methoxydibenzoylmethane",70356-09-1,274-581-6,,5%,,,"(EC) 2009/1223",,,,"BUTYL METHOXYDIBENZOYLMETHANE",,15/10/2010
9,"alpha-(2-Oxoborn-3-ylidene)toluene-4-sulphonic acid and its salts","BENZYLIDENE CAMPHOR SULFONIC ACID",56039-58-8,-,,"6%(as acid)",,,"(EC) 2009/1223",,,,"BENZYLIDENE CAMPHOR SULFONIC ACID",,26/10/2010
10,"2-Cyano-3,3-diphenyl acrylic acid 2-ethylhexyl ester / Octocrilene",OCTOCRYLENE,6197-30-4,228-250-8,"a) Propellant spray products
b) Other products","a) 9%
b) 10%

Footnote (*3): Benzophenone as an impurity and/or degradation product of Octocrylene shall be kept at trace level.",,,"(EU) 2022/1176",,"OPINION on Octocrylene","2-Cyano-3,3-diphenyl acrylic acid 2-ethylhexyl ester / Octocrylene",OCTOCRYLENE,,31/01/2023
11,"Polymer of N-{(2 and 4)-[(2-oxoborn-3-ylidene)methyl]benzyl}acrylamide","POLYACRYLAMIDOMETHYL BENZYLIDENE CAMPHOR",113783-61-2,-,,6%,,,"(EC) 2009/1223",,,,"POLYACRYLAMIDOMETHYL BENZYLIDENE CAMPHOR",,26/10/2010
